id,customer_id,product_id,quantity,timestamp,payment_method
1,505,227,2,2025-02-15T20:49:50.700322,Bank Transfer
2,189,375,5,2025-06-28T01:35:26.091809,Credit Card
3,960,38,2,2025-04-14T16:17:48.549763,PayPal
4,968,408,1,2025-08-29T11:04:21.585041,Credit Card
5,914,234,5,2025-07-05T23:43:29.453838,Credit Card
6,384,7,5,2025-02-22T20:02:41.496140,PayPal
7,75,176,3,2025-05-06T08:39:10.410695,Credit Card
8,987,399,4,2025-10-19T03:45:50.153482,Bank Transfer
9,187,141,1,2025-08-05T01:34:43.261289,Bank Transfer
10,909,208,4,2025-08-25T09:09:05.031640,Bank Transfer
11,670,345,4,2024-11-04T00:55:28.514887,Credit Card
12,806,90,1,2025-03-20T13:15:56.115813,PayPal
13,669,164,5,2025-10-01T12:31:58.161339,Bank Transfer
14,877,182,3,2025-09-05T02:44:42.588126,Bank Transfer
15,351,79,4,2025-01-02T06:51:53.446542,PayPal
16,981,14,3,2025-03-01T21:25:55.656292,PayPal
17,481,248,1,2025-01-21T19:37:47.479158,PayPal
18,854,242,1,2025-08-29T10:10:59.652780,Bank Transfer
19,159,182,5,2025-06-21T17:37:27.458188,PayPal
20,961,76,1,2025-02-21T16:15:34.151187,Bank Transfer
21,234,395,1,2024-12-13T22:28:50.835952,Credit Card
22,484,219,4,2025-06-24T20:28:07.005072,PayPal
23,51,14,4,2025-07-24T07:13:49.863145,Bank Transfer
24,475,159,3,2025-02-01T06:31:04.311784,PayPal
25,124,234,2,2025-02-13T04:04:37.247220,Credit Card
26,861,217,5,2025-08-08T21:43:49.140707,Credit Card
27,600,466,1,2025-08-31T04:28:15.406077,Credit Card
28,103,296,3,2025-06-12T00:00:40.864399,PayPal
29,690,143,1,2025-06-09T12:15:03.930818,PayPal
30,220,466,2,2025-04-25T17:34:02.938542,PayPal
31,943,489,2,2025-08-08T20:51:49.119181,Bank Transfer
32,257,421,2,2025-04-15T22:44:36.875703,Bank Transfer
33,668,190,3,2025-08-29T16:32:05.106797,Bank Transfer
34,694,201,2,2024-10-24T21:01:38.688528,PayPal
35,305,71,3,2024-12-15T14:21:59.143705,PayPal
36,790,430,4,2025-01-30T07:19:56.270797,Credit Card
37,683,356,3,2025-02-15T21:19:22.702024,Bank Transfer
38,205,85,2,2025-07-30T13:28:12.923012,Bank Transfer
39,208,318,4,2025-08-09T04:50:06.937804,Bank Transfer
40,514,228,1,2024-11-05T09:29:08.122028,Bank Transfer
41,376,97,5,2025-01-14T00:24:09.865784,Bank Transfer
42,88,425,1,2024-12-30T23:27:32.125796,PayPal
43,679,207,4,2025-02-13T11:04:56.586810,PayPal
44,599,273,2,2024-11-04T04:11:01.133568,Credit Card
45,457,22,2,2025-02-06T06:57:23.908193,Bank Transfer
46,181,115,2,2024-12-16T08:09:02.689521,Bank Transfer
47,950,424,2,2025-09-30T18:38:15.055338,Bank Transfer
48,436,427,1,2025-06-04T16:12:55.218286,PayPal
49,606,46,3,2025-09-01T06:55:55.669798,Credit Card
50,87,2,5,2025-03-09T11:50:01.510556,Bank Transfer
51,93,443,1,2025-07-13T11:28:06.859107,Bank Transfer
52,81,156,3,2025-01-12T04:10:30.306084,Credit Card
53,79,115,4,2025-01-09T17:25:52.198126,Credit Card
54,38,287,1,2024-12-07T21:59:36.245343,Bank Transfer
55,77,298,5,2025-03-19T01:56:52.134667,Bank Transfer
56,979,296,2,2025-07-08T13:30:36.220219,Credit Card
57,910,282,3,2025-03-31T10:07:52.037050,Bank Transfer
58,575,148,5,2024-11-10T20:22:40.922164,Credit Card
59,617,71,2,2025-06-15T19:51:43.373434,Bank Transfer
60,932,425,3,2025-06-11T20:52:35.624316,PayPal
61,826,392,1,2025-07-21T10:05:22.672448,PayPal
62,51,124,4,2025-08-14T06:30:18.604722,Credit Card
63,198,183,4,2025-04-18T00:45:04.099137,Bank Transfer
64,850,97,4,2024-12-05T14:47:47.747997,Bank Transfer
65,711,182,5,2025-04-24T04:29:12.245488,Bank Transfer
66,699,285,2,2025-07-14T07:04:53.587792,PayPal
67,954,176,2,2025-09-29T11:37:34.876333,PayPal
68,524,168,1,2024-11-24T05:01:50.204000,Credit Card
69,76,422,1,2024-12-30T04:25:33.820435,PayPal
70,780,209,4,2025-08-02T06:44:49.637131,PayPal
71,561,351,1,2025-09-03T22:05:14.277036,PayPal
72,338,212,4,2024-12-19T22:23:11.046727,PayPal
73,544,172,3,2025-10-16T14:31:22.206418,Credit Card
74,286,265,3,2025-06-07T17:13:09.063491,PayPal
75,289,16,1,2025-08-21T09:03:01.257037,PayPal
76,901,498,5,2025-05-11T01:01:49.255322,Credit Card
77,939,236,2,2025-10-05T22:43:49.236949,PayPal
78,353,478,1,2025-04-29T09:16:31.066944,Bank Transfer
79,431,442,4,2025-04-20T07:38:51.930695,Bank Transfer
80,23,126,5,2024-12-15T12:54:50.508229,Bank Transfer
81,356,153,4,2025-05-21T22:50:41.928229,Bank Transfer
82,905,96,3,2025-02-06T20:28:54.893901,Credit Card
83,928,320,4,2025-06-25T16:56:02.977158,Credit Card
84,771,41,5,2025-09-18T06:08:13.310626,PayPal
85,204,430,1,2025-10-22T22:29:01.735004,Bank Transfer
86,175,227,2,2024-12-06T11:03:04.749961,Credit Card
87,243,368,1,2025-04-23T16:58:56.708467,Credit Card
88,960,93,1,2025-03-17T12:29:25.222994,Bank Transfer
89,348,46,5,2024-11-19T06:25:21.720025,Credit Card
90,201,430,5,2025-02-03T20:46:14.575056,PayPal
91,993,368,4,2025-01-15T16:42:48.430852,PayPal
92,540,64,2,2024-12-17T23:33:16.705182,Bank Transfer
93,556,212,2,2025-02-25T15:51:28.212887,PayPal
94,755,350,3,2024-11-01T17:30:20.117560,Bank Transfer
95,774,369,4,2024-11-17T22:17:27.720040,PayPal
96,841,237,3,2025-05-20T08:05:00.388282,PayPal
97,985,68,4,2025-06-05T22:14:03.032327,PayPal
98,193,355,4,2025-08-28T19:11:09.635824,PayPal
99,585,362,5,2024-12-21T14:32:15.654537,PayPal
100,127,17,2,2025-03-02T02:57:39.113091,Bank Transfer
101,684,304,3,2025-04-08T23:10:14.581656,PayPal
102,765,403,1,2025-07-01T04:06:41.360086,PayPal
103,227,280,3,2025-06-13T01:18:28.542938,Credit Card
104,837,195,5,2025-02-06T17:23:10.568236,PayPal
105,590,422,3,2025-05-29T08:56:58.474647,PayPal
106,153,474,3,2025-07-29T03:01:17.890041,Bank Transfer
107,324,235,2,2025-08-02T23:43:34.489385,Credit Card
108,111,15,4,2024-11-29T14:51:31.146913,Bank Transfer
109,188,337,2,2025-08-07T00:31:44.763797,Credit Card
110,855,131,5,2025-03-06T02:15:49.388633,Credit Card
111,718,372,1,2025-04-19T23:32:11.113752,Bank Transfer
112,161,65,1,2024-12-19T18:22:55.390107,PayPal
113,463,396,4,2025-10-03T10:31:19.990562,PayPal
114,735,153,5,2025-06-02T12:25:42.711809,PayPal
115,897,331,1,2025-05-07T01:51:02.046767,PayPal
116,837,199,1,2025-06-30T03:10:08.542588,Bank Transfer
117,633,134,5,2025-04-23T12:23:32.623894,Bank Transfer
118,350,226,3,2025-06-13T22:56:49.925517,Bank Transfer
119,111,439,3,2025-01-06T13:18:08.497553,Credit Card
120,940,185,5,2025-06-17T01:59:31.630534,Credit Card
121,583,264,5,2025-04-13T07:07:20.049731,Credit Card
122,326,350,4,2024-11-14T09:04:01.749167,Bank Transfer
123,677,138,5,2025-09-12T16:58:29.719530,Bank Transfer
124,428,472,2,2025-04-26T10:21:27.760917,Credit Card
125,641,99,1,2025-03-31T05:01:07.482254,Credit Card
126,342,67,3,2025-07-05T07:41:21.393877,PayPal
127,824,95,5,2025-08-30T03:22:55.125809,Bank Transfer
